Category	Seq_ID	GC_Content
Short Intergenic	intergenic_0_23	34.78
Short Intergenic	intergenic_5239_5241	0.00
Short Intergenic	intergenic_9491_9675	25.00
Short Intergenic	intergenic_9942_9947	0.00
Short Intergenic	intergenic_16198_16396	36.36
Short Intergenic	intergenic_28055_28105	30.00
Short Intergenic	intergenic_28996_29171	30.29
Short Intergenic	intergenic_31880_31884	0.00
Short Intergenic	intergenic_40497_40593	25.00
Short Intergenic	intergenic_40713_40824	22.52
Short Intergenic	intergenic_42633_42849	22.69
Short Intergenic	intergenic_48323_48404	29.63
Short Intergenic	intergenic_11857_11986	34.11
Short Intergenic	intergenic_12037_12101	31.25
Short Intergenic	intergenic_12974_13256	29.79
Short Intergenic	intergenic_17718_17726	25.00
Short Intergenic	intergenic_18899_19098	30.15
Short Intergenic	intergenic_19743_19786	37.21
Short Intergenic	intergenic_20580_20643	19.05
Short Intergenic	intergenic_28183_28260	33.77
Short Intergenic	intergenic_30940_31022	30.49
Short Intergenic	intergenic_37309_37311	0.00
Short Intergenic	intergenic_38403_38502	28.28
Short Intergenic	intergenic_42130_42404	31.02
Short Intergenic	intergenic_54597_54600	0.00
Short Intergenic	intergenic_70404_70591	30.48
Short Intergenic	intergenic_73217_73241	29.17
Short Intergenic	intergenic_78736_78780	31.82
Short Intergenic	intergenic_79968_80169	35.32
Short Intergenic	intergenic_84293_84463	23.53
Short Intergenic	intergenic_86985_87113	29.69
Short Intergenic	intergenic_87187_87303	33.62
Short Intergenic	intergenic_99165_99355	33.16
Short Intergenic	intergenic_102563_102630	23.88
Short Intergenic	intergenic_106218_106485	28.84
Short Intergenic	intergenic_107988_108143	25.81
Short Intergenic	intergenic_112479_112696	29.95
Short Intergenic	intergenic_332_492	39.38
Short Intergenic	intergenic_1227_1415	31.38
Short Intergenic	intergenic_7557_7619	29.03
Short Intergenic	intergenic_8843_9000	21.02
Short Intergenic	intergenic_10920_10978	24.14
Short Intergenic	intergenic_13015_13196	24.31
Short Intergenic	intergenic_14033_14330	32.32
Short Intergenic	intergenic_14510_14562	36.54
Short Intergenic	intergenic_15382_15540	32.28
Short Intergenic	intergenic_15792_15833	31.71
Short Intergenic	intergenic_16726_16814	21.59
Short Intergenic	intergenic_858_881	34.78
Short Intergenic	intergenic_1151_1175	16.67
Short Intergenic	intergenic_2693_2755	20.97
Short Intergenic	intergenic_5716_5933	29.49
Short Intergenic	intergenic_6275_6285	30.00
Short Intergenic	intergenic_6591_6721	33.08
Short Intergenic	intergenic_8374_8574	28.50
Short Intergenic	intergenic_9357_9398	26.83
Short Intergenic	intergenic_10157_10356	28.14
Short Intergenic	intergenic_11268_11404	29.41
Short Intergenic	intergenic_20081_20136	34.55
Short Intergenic	intergenic_21195_21297	22.55
Short Intergenic	intergenic_21462_21564	31.37
Short Intergenic	intergenic_33746_33865	36.13
Short Intergenic	intergenic_3984_4013	51.72
Short Intergenic	intergenic_16857_16915	22.41
Short Intergenic	intergenic_17368_17526	29.75
Short Intergenic	intergenic_18423_18567	29.86
Short Intergenic	intergenic_24931_25155	34.82
Short Intergenic	intergenic_26583_26850	31.84
Short Intergenic	intergenic_33848_34119	32.84
Short Intergenic	intergenic_335_345	50.00
Short Intergenic	intergenic_690_808	64.41
Short Intergenic	intergenic_1355_1502	65.31
Short Intergenic	intergenic_4827_5103	30.07
Short Intergenic	intergenic_6213_6302	34.83
Short Intergenic	intergenic_9907_9980	42.47
Short Intergenic	intergenic_11800_12049	27.31
Short Intergenic	intergenic_12445_12513	26.47
Short Intergenic	intergenic_13335_13578	30.86
Short Intergenic	intergenic_15309_15497	30.32
Short Intergenic	intergenic_18174_18275	28.71
Short Intergenic	intergenic_19486_19654	29.17
Short Intergenic	intergenic_21034_21315	29.18
Short Intergenic	intergenic_21816_21958	38.03
Short Intergenic	intergenic_26827_26990	25.77
Short Intergenic	intergenic_27326_27354	17.86
Short Intergenic	intergenic_30584_30811	33.04
Short Intergenic	intergenic_32825_32872	25.53
Short Intergenic	intergenic_6427_6673	31.71
Short Intergenic	intergenic_2142_2215	30.14
Short Intergenic	intergenic_4142_4177	22.86
Short Intergenic	intergenic_5524_5793	35.69
Short Intergenic	intergenic_9476_9615	31.65
Short Intergenic	intergenic_17297_17316	26.32
Short Intergenic	intergenic_18261_18324	34.92
Short Intergenic	intergenic_19335_19595	28.08
Short Intergenic	intergenic_26257_26369	26.79
Short Intergenic	intergenic_1447_1566	39.50
Short Intergenic	intergenic_2226_2288	38.71
Short Intergenic	intergenic_9849_9926	28.57
Short Intergenic	intergenic_10142_10215	26.03
Short Intergenic	intergenic_11052_11284	27.16
Short Intergenic	intergenic_12815_12903	34.09
Short Intergenic	intergenic_18317_18592	28.73
Short Intergenic	intergenic_22961_23189	29.39
Short Intergenic	intergenic_23266_23306	30.00
Short Intergenic	intergenic_24260_24351	28.57
Short Intergenic	intergenic_24852_24854	0.00
Short Intergenic	intergenic_31035_31103	30.88
Short Intergenic	intergenic_34127_34266	30.22
Short Intergenic	intergenic_34806_35041	32.77
Short Intergenic	intergenic_38386_38550	25.61
Short Intergenic	intergenic_43842_43917	38.67
Short Intergenic	intergenic_45123_45161	13.16
Short Intergenic	intergenic_13766_13795	31.03
Short Intergenic	intergenic_15378_15381	33.33
Short Intergenic	intergenic_16392_16570	24.16
Short Intergenic	intergenic_21440_21518	33.33
Short Intergenic	intergenic_21923_21970	21.28
Short Intergenic	intergenic_25925_26067	39.44
Short Intergenic	intergenic_27354_27464	36.36
Short Intergenic	intergenic_39754_39948	35.05
Short Intergenic	intergenic_41583_41708	31.20
Short Intergenic	intergenic_44994_45287	25.94
Short Intergenic	intergenic_51192_51215	13.04
Short Intergenic	intergenic_55637_55816	29.05
Short Intergenic	intergenic_75540_75656	37.07
Short Intergenic	intergenic_77907_78144	28.69
Short Intergenic	intergenic_80653_80877	27.68
Short Intergenic	intergenic_1286_1288	50.00
Short Intergenic	intergenic_2290_2337	25.53
Short Intergenic	intergenic_5157_5261	26.92
Short Intergenic	intergenic_8603_8777	31.03
Short Intergenic	intergenic_15528_15726	34.34
Short Intergenic	intergenic_2099_2292	29.53
Short Intergenic	intergenic_8883_9140	31.52
Short Intergenic	intergenic_16415_16483	27.94
Short Intergenic	intergenic_16777_16902	27.20
Short Intergenic	intergenic_28907_29104	32.99
Short Intergenic	intergenic_34247_34469	30.18
Short Intergenic	intergenic_35279_35401	21.31
Short Intergenic	intergenic_37024_37158	28.36
Short Intergenic	intergenic_38769_38789	45.00
Short Intergenic	intergenic_39122_39412	32.07
Short Intergenic	intergenic_43455_43561	33.02
Short Intergenic	intergenic_45018_45311	28.33
Short Intergenic	intergenic_1705_1855	38.00
Short Intergenic	intergenic_1931_1979	37.50
Short Intergenic	intergenic_2054_2310	40.23
Short Intergenic	intergenic_5185_5443	41.86
Short Intergenic	intergenic_640_798	44.30
Short Intergenic	intergenic_1149_1182	66.67
Short Intergenic	intergenic_5799_5950	34.44
Short Intergenic	intergenic_14929_15138	35.41
Short Intergenic	intergenic_16282_16302	35.00
Short Intergenic	intergenic_20429_20446	47.06
Short Intergenic	intergenic_20665_20827	32.10
Short Intergenic	intergenic_25452_25559	35.51
Short Intergenic	intergenic_26255_26436	29.28
Short Intergenic	intergenic_40194_40465	26.94
Short Intergenic	intergenic_42153_42215	17.74
Short Intergenic	intergenic_42959_42982	30.43
Short Intergenic	intergenic_43312_43611	31.44
Short Intergenic	intergenic_46707_46757	28.00
Short Intergenic	intergenic_47111_47157	23.91
Short Intergenic	intergenic_48746_48990	31.56
Short Intergenic	intergenic_49476_49542	36.36
Short Intergenic	intergenic_58989_59259	27.41
Short Intergenic	intergenic_60711_60949	27.73
Short Intergenic	intergenic_61021_61135	31.58
Short Intergenic	intergenic_65391_65435	22.73
Short Intergenic	intergenic_72685_72830	35.17
Short Intergenic	intergenic_73721_73971	29.20
Short Intergenic	intergenic_78754_78869	36.52
Short Intergenic	intergenic_83839_83845	33.33
Short Intergenic	intergenic_88484_88604	22.50
Short Intergenic	intergenic_89282_89509	30.40
Short Intergenic	intergenic_90946_91169	30.49
Short Intergenic	intergenic_93301_93336	37.14
Short Intergenic	intergenic_2115_2133	55.56
Short Intergenic	intergenic_7769_7783	28.57
Short Intergenic	intergenic_9641_9720	31.65
Short Intergenic	intergenic_17387_17571	25.54
Short Intergenic	intergenic_20664_20890	26.55
Short Intergenic	intergenic_24449_24717	33.58
Short Intergenic	intergenic_794_873	26.58
Short Intergenic	intergenic_1911_2076	33.94
Short Intergenic	intergenic_12252_12483	27.27
Short Intergenic	intergenic_12618_12910	32.19
Short Intergenic	intergenic_14116_14287	29.24
Short Intergenic	intergenic_15499_15612	28.32
Short Intergenic	intergenic_16059_16253	33.51
Short Intergenic	intergenic_20022_20163	29.08
Short Intergenic	intergenic_4572_4611	30.77
Short Intergenic	intergenic_4743_4934	30.37
Short Intergenic	intergenic_11337_11423	33.72
Short Intergenic	intergenic_14943_15134	31.94
Short Intergenic	intergenic_16001_16095	23.40
Short Intergenic	intergenic_3446_3690	25.00
Short Intergenic	intergenic_4203_4402	37.19
Short Intergenic	intergenic_6118_6135	58.82
Short Intergenic	intergenic_7362_7367	20.00
Short Intergenic	intergenic_8504_8654	28.67
Short Intergenic	intergenic_14535_14651	31.90
Short Intergenic	intergenic_18314_18494	31.67
Short Intergenic	intergenic_22560_22668	24.07
Short Intergenic	intergenic_33214_33235	33.33
Short Intergenic	intergenic_37616_37664	37.50
Short Intergenic	intergenic_39721_39807	40.70
Short Intergenic	intergenic_45239_45290	29.41
Short Intergenic	intergenic_47035_47243	30.77
Short Intergenic	intergenic_50066_50164	27.55
Short Intergenic	intergenic_50566_50690	35.48
Short Intergenic	intergenic_60360_60548	26.06
Short Intergenic	intergenic_61956_62052	34.38
Short Intergenic	intergenic_62535_62592	33.33
Short Intergenic	intergenic_62826_62936	26.36
Short Intergenic	intergenic_3135_3216	39.51
Short Intergenic	intergenic_5570_5628	29.31
Short Intergenic	intergenic_23122_23224	24.51
Short Intergenic	intergenic_33353_33370	41.18
Short Intergenic	intergenic_34522_34575	26.42
Short Intergenic	intergenic_34765_35030	29.06
Short Intergenic	intergenic_35381_35491	29.09
Short Intergenic	intergenic_38638_38859	33.94
Short Intergenic	intergenic_39129_39263	41.79
Short Intergenic	intergenic_39542_39786	34.84
Short Intergenic	intergenic_48796_48990	39.18
Short Intergenic	intergenic_50163_50417	26.38
Short Intergenic	intergenic_55818_55901	26.51
Short Intergenic	intergenic_58398_58538	22.86
Short Intergenic	intergenic_61547_61565	27.78
Short Intergenic	intergenic_68597_68682	32.94
Short Intergenic	intergenic_70176_70239	25.40
Short Intergenic	intergenic_72142_72362	32.27
Short Intergenic	intergenic_73382_73480	27.55
Short Intergenic	intergenic_75634_75744	29.09
Short Intergenic	intergenic_81681_81724	44.19
Short Intergenic	intergenic_82171_82319	22.97
Short Intergenic	intergenic_84016_84138	31.15
Short Intergenic	intergenic_2121_2254	34.59
Short Intergenic	intergenic_3358_3618	26.15
Short Intergenic	intergenic_18338_18629	27.49
Short Intergenic	intergenic_18938_18970	21.88
Short Intergenic	intergenic_22620_22713	25.81
