Category	Seq_ID	GC_Content
Short Intergenic	intergenic_0_67	43.28
Short Intergenic	intergenic_725_858	29.32
Short Intergenic	intergenic_6643_6892	28.92
Short Intergenic	intergenic_9472_9680	33.65
Short Intergenic	intergenic_10847_10976	31.01
Short Intergenic	intergenic_12804_12845	26.83
Short Intergenic	intergenic_15307_15431	28.23
Short Intergenic	intergenic_18370_18656	29.02
Short Intergenic	intergenic_22774_22939	29.09
Short Intergenic	intergenic_1020_1053	30.30
Short Intergenic	intergenic_3039_3180	28.37
Short Intergenic	intergenic_2095_2178	36.14
Short Intergenic	intergenic_3157_3210	24.53
Short Intergenic	intergenic_3867_4090	35.43
Short Intergenic	intergenic_1447_1600	29.41
Short Intergenic	intergenic_1798_1995	32.49
Short Intergenic	intergenic_3486_3746	32.69
Short Intergenic	intergenic_6614_6883	33.83
Short Intergenic	intergenic_7609_7892	30.39
Short Intergenic	intergenic_8741_8757	31.25
Short Intergenic	intergenic_801_857	44.64
Short Intergenic	intergenic_1355_1396	34.15
Short Intergenic	intergenic_11071_11095	25.00
Short Intergenic	intergenic_12302_12523	27.60
Short Intergenic	intergenic_12664_12684	30.00
Short Intergenic	intergenic_13451_13600	25.50
Short Intergenic	intergenic_15811_15830	47.37
Short Intergenic	intergenic_8727_8968	25.73
Short Intergenic	intergenic_12354_12479	36.00
Short Intergenic	intergenic_14571_14841	27.78
Short Intergenic	intergenic_15462_15750	26.39
Short Intergenic	intergenic_16338_16568	20.43
Short Intergenic	intergenic_1510_1667	25.48
Short Intergenic	intergenic_3587_3645	24.14
Short Intergenic	intergenic_4215_4241	34.62
Short Intergenic	intergenic_2748_2843	29.47
Short Intergenic	intergenic_4897_5021	31.45
Short Intergenic	intergenic_5750_5931	22.65
Short Intergenic	intergenic_1671_1760	29.21
Short Intergenic	intergenic_1023_1261	31.09
Short Intergenic	intergenic_2715_2991	37.68
Short Intergenic	intergenic_1946_2057	27.93
Short Intergenic	intergenic_2414_2515	30.69
Short Intergenic	intergenic_2788_2813	36.00
Short Intergenic	intergenic_3784_4039	31.76
Short Intergenic	intergenic_437_441	50.00
Short Intergenic	intergenic_1386_1389	0.00
Short Intergenic	intergenic_2304_2359	25.45
Short Intergenic	intergenic_2953_3033	22.50
Short Intergenic	intergenic_7832_7859	29.63
Short Intergenic	intergenic_8273_8397	29.03
Short Intergenic	intergenic_8607_8793	36.02
Short Intergenic	intergenic_11038_11094	37.50
Short Intergenic	intergenic_3700_3963	31.56
Short Intergenic	intergenic_2130_2337	27.05
Short Intergenic	intergenic_3021_3100	21.52
Short Intergenic	intergenic_3556_3814	27.91
Short Intergenic	intergenic_4738_4815	31.17
Short Intergenic	intergenic_7441_7617	30.11
Short Intergenic	intergenic_350_573	36.32
Short Intergenic	intergenic_2121_2216	25.26
Short Intergenic	intergenic_2534_2733	26.63
Short Intergenic	intergenic_7380_7488	23.15
Short Intergenic	intergenic_8866_9090	33.04
Short Intergenic	intergenic_9243_9288	35.56
Short Intergenic	intergenic_9525_9717	33.85
Short Intergenic	intergenic_6357_6410	39.62
Short Intergenic	intergenic_7181_7237	23.21
Short Intergenic	intergenic_3091_3163	37.50
Short Intergenic	intergenic_3910_3972	29.03
Short Intergenic	intergenic_6369_6496	37.01
Short Intergenic	intergenic_8280_8487	27.54
Short Intergenic	intergenic_8931_9058	34.65
Short Intergenic	intergenic_9331_9392	27.87
Short Intergenic	intergenic_11065_11157	31.52
Short Intergenic	intergenic_12555_12834	37.63
Short Intergenic	intergenic_4909_4980	36.62
Short Intergenic	intergenic_5054_5203	38.26
Short Intergenic	intergenic_381_435	31.48
Short Intergenic	intergenic_1788_1917	30.23
Short Intergenic	intergenic_3756_3793	32.43
Short Intergenic	intergenic_5396_5472	34.21
Short Intergenic	intergenic_195_428	26.18
Short Intergenic	intergenic_3639_3771	21.21
Short Intergenic	intergenic_3495_3565	28.57
Short Intergenic	intergenic_7723_7849	32.54
Short Intergenic	intergenic_8110_8162	30.77
Short Intergenic	intergenic_8696_8870	26.44
Short Intergenic	intergenic_10911_10927	31.25
Short Intergenic	intergenic_11050_11330	33.57
Short Intergenic	intergenic_11570_11771	44.28
Short Intergenic	intergenic_5263_5341	33.33
Short Intergenic	intergenic_5995_6179	24.46
Short Intergenic	intergenic_10646_10936	25.52
Short Intergenic	intergenic_16430_16501	25.35
Short Intergenic	intergenic_770_1006	34.75
Short Intergenic	intergenic_4399_4633	32.91
Short Intergenic	intergenic_1416_1538	23.77
Short Intergenic	intergenic_2348_2552	27.94
Short Intergenic	intergenic_7984_8075	48.35
Short Intergenic	intergenic_2942_3117	39.43
Short Intergenic	intergenic_4473_4671	25.25
Short Intergenic	intergenic_6365_6396	29.03
Short Intergenic	intergenic_6948_7170	32.43
Short Intergenic	intergenic_8769_9037	29.85
Short Intergenic	intergenic_13672_13839	34.13
Short Intergenic	intergenic_3478_3554	32.89
Short Intergenic	intergenic_4595_4687	29.35
Short Intergenic	intergenic_6712_6918	25.24
Short Intergenic	intergenic_1019_1034	33.33
Short Intergenic	intergenic_5724_5839	33.91
Short Intergenic	intergenic_10608_10748	29.29
Short Intergenic	intergenic_1429_1601	37.79
Short Intergenic	intergenic_4991_5229	26.47
Short Intergenic	intergenic_7721_7993	33.46
Short Intergenic	intergenic_167_184	23.53
Short Intergenic	intergenic_1093_1362	26.39
Short Intergenic	intergenic_1560_1612	40.38
Short Intergenic	intergenic_1831_1948	26.50
Short Intergenic	intergenic_2341_2416	30.67
Short Intergenic	intergenic_2611_2715	33.65
Short Intergenic	intergenic_3385_3478	35.48
Short Intergenic	intergenic_6884_7097	23.94
Short Intergenic	intergenic_5009_5250	34.02
Short Intergenic	intergenic_209_323	36.84
Short Intergenic	intergenic_3612_3661	44.90
Short Intergenic	intergenic_3524_3555	35.48
Short Intergenic	intergenic_1534_1597	42.86
Short Intergenic	intergenic_2618_2765	33.33
Short Intergenic	intergenic_1589_1793	27.94
Short Intergenic	intergenic_2858_2867	44.44
Short Intergenic	intergenic_3714_3956	29.75
Short Intergenic	intergenic_3983_4021	26.32
Short Intergenic	intergenic_5008_5227	30.59
Short Intergenic	intergenic_5350_5646	28.04
Short Intergenic	intergenic_5739_5825	37.21
Short Intergenic	intergenic_7059_7104	37.78
Short Intergenic	intergenic_10151_10276	30.40
Short Intergenic	intergenic_13636_13806	32.35
Short Intergenic	intergenic_14409_14485	23.68
Short Intergenic	intergenic_19680_19853	34.10
Short Intergenic	intergenic_22092_22176	35.71
Short Intergenic	intergenic_26278_26523	22.45
Short Intergenic	intergenic_27915_28142	31.28
Short Intergenic	intergenic_35240_35401	37.27
Short Intergenic	intergenic_42637_42763	32.54
Short Intergenic	intergenic_446_608	26.54
Short Intergenic	intergenic_2756_2806	18.00
Short Intergenic	intergenic_9181_9225	36.36
Short Intergenic	intergenic_9459_9485	46.15
Short Intergenic	intergenic_9617_9892	22.18
Short Intergenic	intergenic_10654_10800	32.19
Short Intergenic	intergenic_11874_11879	60.00
Short Intergenic	intergenic_13341_13613	37.50
Short Intergenic	intergenic_247_452	30.24
Short Intergenic	intergenic_623_801	28.65
Short Intergenic	intergenic_1050_1200	34.00
Short Intergenic	intergenic_4638_4645	14.29
Short Intergenic	intergenic_2206_2294	28.41
Short Intergenic	intergenic_3949_4043	27.66
Short Intergenic	intergenic_4253_4482	32.31
Short Intergenic	intergenic_6533_6588	23.64
Short Intergenic	intergenic_8859_9060	25.87
Short Intergenic	intergenic_9213_9361	27.03
Short Intergenic	intergenic_9801_9833	25.00
Short Intergenic	intergenic_19578_19707	31.78
Short Intergenic	intergenic_19923_19932	22.22
Short Intergenic	intergenic_21205_21398	42.49
Short Intergenic	intergenic_2817_3090	20.88
Short Intergenic	intergenic_1867_2032	27.88
Short Intergenic	intergenic_3067_3193	39.68
Short Intergenic	intergenic_559_653	22.34
Short Intergenic	intergenic_971_1007	8.33
Short Intergenic	intergenic_1865_2154	27.34
Short Intergenic	intergenic_2547_2560	46.15
Short Intergenic	intergenic_1422_1661	28.45
Short Intergenic	intergenic_3158_3231	24.66
Short Intergenic	intergenic_3306_3317	45.45
Short Intergenic	intergenic_3470_3554	34.52
Short Intergenic	intergenic_3781_3818	43.24
Short Intergenic	intergenic_4154_4345	24.08
Short Intergenic	intergenic_8438_8449	45.45
Short Intergenic	intergenic_8716_8725	33.33
Short Intergenic	intergenic_9136_9175	33.33
Short Intergenic	intergenic_9394_9545	34.44
Short Intergenic	intergenic_10046_10307	29.12
Short Intergenic	intergenic_11351_11360	11.11
Short Intergenic	intergenic_2079_2259	27.22
Short Intergenic	intergenic_7841_8005	27.44
Short Intergenic	intergenic_8090_8162	22.22
Short Intergenic	intergenic_4821_4922	26.73
Short Intergenic	intergenic_7389_7490	26.73
Short Intergenic	intergenic_9390_9481	24.18
Short Intergenic	intergenic_5311_5393	29.27
Short Intergenic	intergenic_2890_3133	38.27
Short Intergenic	intergenic_3364_3400	47.22
Short Intergenic	intergenic_493_761	30.22
Short Intergenic	intergenic_1439_1538	36.36
Short Intergenic	intergenic_3046_3073	25.93
Short Intergenic	intergenic_3763_4058	31.19
Short Intergenic	intergenic_1299_1335	22.22
Short Intergenic	intergenic_3285_3393	28.70
Short Intergenic	intergenic_632_705	20.55
Short Intergenic	intergenic_3182_3259	36.36
Short Intergenic	intergenic_10167_10262	37.89
Short Intergenic	intergenic_8580_8615	28.57
Short Intergenic	intergenic_10693_10707	28.57
Short Intergenic	intergenic_11391_11465	43.24
Short Intergenic	intergenic_1946_1973	33.33
Short Intergenic	intergenic_2066_2154	36.36
Short Intergenic	intergenic_2568_2617	38.78
Short Intergenic	intergenic_2860_2974	31.58
Short Intergenic	intergenic_3941_4211	28.89
Short Intergenic	intergenic_5609_5863	26.38
Short Intergenic	intergenic_8625_8847	42.79
Short Intergenic	intergenic_5324_5355	35.48
Short Intergenic	intergenic_6149_6211	41.94
Short Intergenic	intergenic_502_750	24.19
Short Intergenic	intergenic_2291_2376	32.94
Short Intergenic	intergenic_3306_3335	20.69
Short Intergenic	intergenic_3803_3975	47.09
Short Intergenic	intergenic_989_1177	22.87
Short Intergenic	intergenic_1465_1625	24.38
Short Intergenic	intergenic_6554_6557	33.33
Short Intergenic	intergenic_7490_7505	53.33
Short Intergenic	intergenic_8237_8269	40.62
Short Intergenic	intergenic_8963_9042	39.24
Short Intergenic	intergenic_1290_1302	16.67
Short Intergenic	intergenic_1476_1661	28.65
Short Intergenic	intergenic_2669_2786	20.51
Short Intergenic	intergenic_3536_3689	26.14
Short Intergenic	intergenic_1181_1338	36.31
Short Intergenic	intergenic_4808_4815	57.14
Short Intergenic	intergenic_161_203	23.81
Short Intergenic	intergenic_1583_1625	28.57
Short Intergenic	intergenic_1997_2019	59.09
Short Intergenic	intergenic_5543_5572	34.48
Short Intergenic	intergenic_1205_1230	32.00
Short Intergenic	intergenic_10482_10679	24.87
Short Intergenic	intergenic_10964_11012	45.83
Short Intergenic	intergenic_11198_11294	30.21
Short Intergenic	intergenic_11573_11819	25.20
Short Intergenic	intergenic_12167_12247	28.75
Short Intergenic	intergenic_12898_13022	28.23
Short Intergenic	intergenic_3672_3825	27.45
Short Intergenic	intergenic_5361_5405	27.27
Short Intergenic	intergenic_1190_1349	33.33
Short Intergenic	intergenic_2003_2226	34.08
Short Intergenic	intergenic_3628_3758	26.15
Short Intergenic	intergenic_3819_3882	31.75
Short Intergenic	intergenic_1712_1891	33.52
Short Intergenic	intergenic_2152_2231	36.71
Short Intergenic	intergenic_5849_5902	32.08
Short Intergenic	intergenic_464_515	27.45
Short Intergenic	intergenic_4970_5029	20.34
Short Intergenic	intergenic_5281_5494	29.11
Short Intergenic	intergenic_5971_6242	30.26
Short Intergenic	intergenic_1518_1536	44.44
Short Intergenic	intergenic_1665_1964	33.44
Short Intergenic	intergenic_2121_2234	31.86
Short Intergenic	intergenic_6048_6150	36.27
Short Intergenic	intergenic_9045_9237	36.98
Short Intergenic	intergenic_2015_2102	25.29
Short Intergenic	intergenic_2294_2395	32.67
Short Intergenic	intergenic_3169_3326	32.48
Short Intergenic	intergenic_12027_12300	32.23
Short Intergenic	intergenic_14632_14634	0.00
Short Intergenic	intergenic_14784_14801	41.18
Short Intergenic	intergenic_822_952	44.62
Short Intergenic	intergenic_351_361	30.00
Short Intergenic	intergenic_6397_6670	27.84
Short Intergenic	intergenic_6811_6856	35.56
Short Intergenic	intergenic_6917_7120	33.00
Short Intergenic	intergenic_6621_6888	26.59
Short Intergenic	intergenic_13183_13455	26.10
Short Intergenic	intergenic_16140_16176	38.89
Short Intergenic	intergenic_2401_2511	40.00
Short Intergenic	intergenic_906_1148	30.58
Short Intergenic	intergenic_2627_2632	20.00
Short Intergenic	intergenic_14347_14460	28.32
Short Intergenic	intergenic_17275_17290	33.33
Short Intergenic	intergenic_17497_17572	30.67
Short Intergenic	intergenic_18004_18070	25.76
Short Intergenic	intergenic_18238_18241	33.33
Short Intergenic	intergenic_20570_20727	36.31
Short Intergenic	intergenic_734_770	30.56
Short Intergenic	intergenic_5771_5823	23.08
Short Intergenic	intergenic_4957_5121	32.32
Short Intergenic	intergenic_5403_5476	31.51
Short Intergenic	intergenic_4248_4341	23.66
Short Intergenic	intergenic_1241_1359	32.20
Short Intergenic	intergenic_2124_2234	40.00
Short Intergenic	intergenic_6214_6344	18.46
Short Intergenic	intergenic_7766_7834	39.71
Short Intergenic	intergenic_3887_3908	42.86
Short Intergenic	intergenic_7713_7948	28.94
Short Intergenic	intergenic_9745_9858	21.24
Short Intergenic	intergenic_10350_10433	13.25
Short Intergenic	intergenic_4212_4311	31.31
Short Intergenic	intergenic_7963_8197	33.33
Short Intergenic	intergenic_10453_10653	32.00
Short Intergenic	intergenic_12053_12331	32.37
Short Intergenic	intergenic_12445_12572	39.37
Short Intergenic	intergenic_20585_20705	36.67
Short Intergenic	intergenic_3346_3507	24.84
Short Intergenic	intergenic_4389_4459	31.43
Short Intergenic	intergenic_7670_7675	0.00
Short Intergenic	intergenic_12436_12581	31.03
Short Intergenic	intergenic_12992_13167	30.86
Short Intergenic	intergenic_23166_23198	28.12
Short Intergenic	intergenic_23321_23479	24.68
Short Intergenic	intergenic_13206_13295	40.45
Short Intergenic	intergenic_1887_2044	27.39
Short Intergenic	intergenic_3346_3616	30.74
Short Intergenic	intergenic_6331_6405	40.54
Short Intergenic	intergenic_7345_7430	25.88
Short Intergenic	intergenic_8294_8431	27.74
Short Intergenic	intergenic_8707_8726	15.79
Short Intergenic	intergenic_9104_9140	30.56
Short Intergenic	intergenic_9890_9997	28.97
Short Intergenic	intergenic_10429_10438	33.33
Short Intergenic	intergenic_10663_10672	33.33
Short Intergenic	intergenic_10912_10973	24.59
Short Intergenic	intergenic_11342_11343	100.00
Short Intergenic	intergenic_11694_11779	29.41
Short Intergenic	intergenic_12325_12345	45.00
Short Intergenic	intergenic_12747_12791	29.55
Short Intergenic	intergenic_13705_13737	25.00
Short Intergenic	intergenic_14265_14401	27.94
Short Intergenic	intergenic_14851_14943	33.70
Short Intergenic	intergenic_16814_17050	33.05
Short Intergenic	intergenic_17251_17364	24.78
Short Intergenic	intergenic_17478_17572	37.23
Short Intergenic	intergenic_17953_18088	30.37
Short Intergenic	intergenic_4923_5014	23.08
Short Intergenic	intergenic_16417_16495	26.92
Short Intergenic	intergenic_22857_23035	29.78
Short Intergenic	intergenic_24097_24345	34.68
Short Intergenic	intergenic_25974_26172	24.24
Short Intergenic	intergenic_34386_34590	35.78
Short Intergenic	intergenic_37608_37894	29.02
Short Intergenic	intergenic_39365_39423	22.41
Short Intergenic	intergenic_44575_44769	33.51
Short Intergenic	intergenic_3011_3031	50.00
Short Intergenic	intergenic_3433_3447	35.71
Short Intergenic	intergenic_3612_3657	35.56
Short Intergenic	intergenic_5393_5429	41.67
Short Intergenic	intergenic_5636_5652	50.00
Short Intergenic	intergenic_12441_12536	13.68
Short Intergenic	intergenic_12680_12765	23.53
Short Intergenic	intergenic_5886_6120	35.04
Short Intergenic	intergenic_6513_6551	28.95
Short Intergenic	intergenic_6707_6722	26.67
Short Intergenic	intergenic_10200_10286	33.72
Short Intergenic	intergenic_15074_15152	28.21
Short Intergenic	intergenic_15458_15498	27.50
Short Intergenic	intergenic_2115_2311	35.20
Short Intergenic	intergenic_6395_6666	31.00
Short Intergenic	intergenic_4050_4149	46.46
Short Intergenic	intergenic_4308_4544	44.07
Short Intergenic	intergenic_1007_1138	32.82
Short Intergenic	intergenic_2299_2355	28.57
Short Intergenic	intergenic_3285_3484	25.63
Short Intergenic	intergenic_6017_6097	41.25
Short Intergenic	intergenic_6364_6409	42.22
Short Intergenic	intergenic_7342_7476	23.88
Short Intergenic	intergenic_9269_9356	32.18
Short Intergenic	intergenic_10732_10762	46.67
Short Intergenic	intergenic_2136_2141	20.00
Short Intergenic	intergenic_2408_2591	24.59
Short Intergenic	intergenic_6944_6946	50.00
Short Intergenic	intergenic_2790_2866	31.58
Short Intergenic	intergenic_7546_7659	20.35
Short Intergenic	intergenic_9402_9499	30.93
Short Intergenic	intergenic_9931_10060	34.88
Short Intergenic	intergenic_10624_10782	36.08
Short Intergenic	intergenic_15600_15646	23.91
Short Intergenic	intergenic_15820_16079	27.41
Short Intergenic	intergenic_18292_18332	15.00
Short Intergenic	intergenic_23239_23301	35.48
Short Intergenic	intergenic_24480_24599	26.89
Short Intergenic	intergenic_25604_25669	20.00
Short Intergenic	intergenic_25795_25848	30.19
Short Intergenic	intergenic_26121_26136	53.33
Short Intergenic	intergenic_32973_33010	24.32
Short Intergenic	intergenic_524_566	40.48
Short Intergenic	intergenic_1037_1211	36.78
Short Intergenic	intergenic_4369_4531	27.78
Short Intergenic	intergenic_5410_5425	26.67
Short Intergenic	intergenic_6022_6079	26.32
Short Intergenic	intergenic_709_711	0.00
Short Intergenic	intergenic_1803_1905	26.47
Short Intergenic	intergenic_3173_3266	38.71
Short Intergenic	intergenic_3788_4083	30.51
Short Intergenic	intergenic_6654_6906	27.78
Short Intergenic	intergenic_9071_9074	33.33
Short Intergenic	intergenic_9236_9259	26.09
Short Intergenic	intergenic_6695_6898	31.53
Short Intergenic	intergenic_8326_8458	26.52
Short Intergenic	intergenic_6899_7048	22.15
Short Intergenic	intergenic_8565_8769	33.33
Short Intergenic	intergenic_9456_9481	44.00
Short Intergenic	intergenic_4363_4527	40.85
Short Intergenic	intergenic_5235_5284	28.57
Short Intergenic	intergenic_5518_5561	13.95
Short Intergenic	intergenic_9112_9157	22.22
Short Intergenic	intergenic_10456_10497	39.02
Short Intergenic	intergenic_15899_15946	34.04
Short Intergenic	intergenic_18822_18953	30.53
Short Intergenic	intergenic_3940_3995	27.27
Short Intergenic	intergenic_5487_5609	34.43
Short Intergenic	intergenic_9175_9427	44.44
Short Intergenic	intergenic_2022_2168	33.56
Short Intergenic	intergenic_3335_3344	33.33
Short Intergenic	intergenic_412_488	23.68
Short Intergenic	intergenic_704_877	27.17
Short Intergenic	intergenic_3094_3126	43.75
Short Intergenic	intergenic_5591_5757	33.73
Short Intergenic	intergenic_12980_13053	31.51
Short Intergenic	intergenic_15108_15352	33.61
Short Intergenic	intergenic_16595_16616	38.10
Short Intergenic	intergenic_16853_16920	20.90
Short Intergenic	intergenic_17523_17602	36.71
Short Intergenic	intergenic_20653_20660	42.86
Short Intergenic	intergenic_1865_1980	37.39
Short Intergenic	intergenic_3426_3561	31.85
Short Intergenic	intergenic_5817_5946	31.01
Short Intergenic	intergenic_2980_3216	25.00
Short Intergenic	intergenic_5393_5543	22.67
Short Intergenic	intergenic_6554_6557	33.33
Short Intergenic	intergenic_8141_8170	27.59
Short Intergenic	intergenic_11477_11534	35.09
Short Intergenic	intergenic_11672_11938	36.09
Short Intergenic	intergenic_2889_3150	28.74
Short Intergenic	intergenic_4254_4416	33.33
Short Intergenic	intergenic_6022_6043	38.10
Short Intergenic	intergenic_7615_7793	23.03
Short Intergenic	intergenic_8882_9020	30.43
Short Intergenic	intergenic_10334_10515	30.39
Short Intergenic	intergenic_696_808	35.71
Short Intergenic	intergenic_2600_2802	24.75
Short Intergenic	intergenic_3645_3724	27.85
Short Intergenic	intergenic_3880_4020	25.71
Short Intergenic	intergenic_4969_5059	41.11
Short Intergenic	intergenic_4244_4309	30.77
Short Intergenic	intergenic_7743_7882	26.62
Short Intergenic	intergenic_8422_8657	34.47
Short Intergenic	intergenic_1288_1360	26.39
Short Intergenic	intergenic_4892_5025	33.83
Short Intergenic	intergenic_5397_5650	28.85
Short Intergenic	intergenic_6454_6464	30.00
Short Intergenic	intergenic_6782_6787	0.00
Short Intergenic	intergenic_7972_8039	25.37
Short Intergenic	intergenic_9359_9481	23.77
Short Intergenic	intergenic_13013_13209	40.31
Short Intergenic	intergenic_14697_14865	35.71
Short Intergenic	intergenic_1295_1474	30.73
Short Intergenic	intergenic_8952_8957	40.00
Short Intergenic	intergenic_9137_9270	31.58
Short Intergenic	intergenic_10374_10509	37.04
Short Intergenic	intergenic_11010_11091	39.51
Short Intergenic	intergenic_13175_13232	33.33
Short Intergenic	intergenic_14951_14991	15.00
Short Intergenic	intergenic_16197_16366	31.36
Short Intergenic	intergenic_733_940	30.43
Short Intergenic	intergenic_7500_7692	27.08
Short Intergenic	intergenic_4503_4794	30.58
Short Intergenic	intergenic_4917_5151	30.77
Short Intergenic	intergenic_203_309	34.91
Short Intergenic	intergenic_537_573	27.78
Short Intergenic	intergenic_891_988	28.87
Short Intergenic	intergenic_2155_2326	30.41
Short Intergenic	intergenic_842_881	35.90
Short Intergenic	intergenic_2916_2963	23.40
Short Intergenic	intergenic_9229_9331	34.31
Short Intergenic	intergenic_9580_9739	32.08
Short Intergenic	intergenic_324_361	43.24
Short Intergenic	intergenic_4351_4619	31.34
Short Intergenic	intergenic_5816_5824	37.50
Short Intergenic	intergenic_2473_2611	30.43
Short Intergenic	intergenic_2845_3043	38.38
Short Intergenic	intergenic_5831_6090	33.20
Short Intergenic	intergenic_16778_17029	27.49
Short Intergenic	intergenic_17263_17447	32.07
Short Intergenic	intergenic_21774_21858	34.52
Short Intergenic	intergenic_25531_25620	25.84
Short Intergenic	intergenic_27087_27091	50.00
Short Intergenic	intergenic_2543_2784	26.14
Short Intergenic	intergenic_1621_1806	31.35
Short Intergenic	intergenic_4525_4569	34.09
Short Intergenic	intergenic_5505_5546	31.71
Short Intergenic	intergenic_7097_7279	33.52
Short Intergenic	intergenic_5711_5873	29.01
Short Intergenic	intergenic_11670_11898	28.51
Short Intergenic	intergenic_15129_15323	31.44
Short Intergenic	intergenic_16111_16200	37.08
Short Intergenic	intergenic_2994_3133	28.78
Short Intergenic	intergenic_4021_4237	30.56
Short Intergenic	intergenic_5464_5708	28.69
Short Intergenic	intergenic_6542_6613	26.76
Short Intergenic	intergenic_7162_7217	34.55
Short Intergenic	intergenic_6878_6891	46.15
Short Intergenic	intergenic_7278_7285	71.43
Short Intergenic	intergenic_3101_3293	31.25
Short Intergenic	intergenic_9813_10069	31.25
Short Intergenic	intergenic_11497_11731	27.35
Short Intergenic	intergenic_18997_19051	25.93
Short Intergenic	intergenic_19363_19490	29.13
Short Intergenic	intergenic_769_834	18.46
Short Intergenic	intergenic_2383_2506	38.21
Short Intergenic	intergenic_3793_3869	39.47
Short Intergenic	intergenic_4499_4641	38.03
Short Intergenic	intergenic_4108_4201	27.96
Short Intergenic	intergenic_5275_5315	30.00
Short Intergenic	intergenic_9665_9749	29.76
Short Intergenic	intergenic_2018_2138	35.83
Short Intergenic	intergenic_5621_5912	30.93
Short Intergenic	intergenic_9734_9828	31.91
Short Intergenic	intergenic_1264_1355	36.26
Short Intergenic	intergenic_1689_1786	27.84
Short Intergenic	intergenic_1422_1436	21.43
Short Intergenic	intergenic_3295_3374	31.65
Short Intergenic	intergenic_13680_13921	26.56
Short Intergenic	intergenic_1077_1267	29.47
Short Intergenic	intergenic_2005_2246	33.20
Short Intergenic	intergenic_2432_2461	44.83
