GFF_File	Category	Gene Identifier	Length
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_292_pseudo_00001	618
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_182_pseudo_00002	492
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_231_pseudo_00003	381
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_366_pseudo_00004	210
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_71_pseudo_00006	180
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_338_pseudo_00007	141
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_362_pseudo_00008	492
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_350_pseudo_00009	234
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_14_pseudo_00010	681
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_85_pseudo_00011	366
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_25_pseudo_00012	321
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_214_pseudo_00013	717
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_139_pseudo_00014	384
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_192_pseudo_00015	135
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_220_pseudo_00016	555
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_354_pseudo_00017	1050
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_287_pseudo_00018	264
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_239_pseudo_00019	2103
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_257_pseudo_00020	390
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_26_pseudo_00021	504
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_301_pseudo_00022	276
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_218_pseudo_00023	270
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_135_pseudo_00025	2760
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_346_pseudo_00026	174
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_328_pseudo_00027	972
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_355_pseudo_00028	3294
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_8_pseudo_00029	1773
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_347_pseudo_00030	129
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_91_pseudo_00031	612
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_19_pseudo_00032	990
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_145_pseudo_00033	201
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_151_pseudo_00034	243
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_159_pseudo_00035	132
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_211_pseudo_00036	1137
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_283_pseudo_00038	138
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_141_pseudo_00039	285
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_351_pseudo_00040	351
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_107_pseudo_00041	207
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_324_pseudo_00042	273
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_341_pseudo_00043	249
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_272_pseudo_00044	696
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_56_pseudo_00045	594
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_263_pseudo_00046	1647
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_44_pseudo_00047	258
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_325_pseudo_00048	1032
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_226_pseudo_00052	1131
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_322_pseudo_00054	1866
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_82_pseudo_00055	1089
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_207_pseudo_00057	450
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_106_pseudo_00061	108
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_52_pseudo_00067	252
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_26_pseudo_00072	174
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_208_pseudo_00073	180
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_290_pseudo_00081	738
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_138_pseudo_00082	183
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_188_pseudo_00086	123
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_294_pseudo_00089	636
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_4_pseudo_00098	210
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_48_pseudo_00108	408
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_324_pseudo_00111	204
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_285_pseudo_00113	447
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_220_pseudo_00116	684
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_290_pseudo_00118	2004
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_294_pseudo_00121	684
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_277_pseudo_00128	120
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_216_pseudo_00131	954
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_273_pseudo_00134	231
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_170_pseudo_00137	120
GCA_030065255.1_ASM3006525v1_genomic.pseudofinder_pseudos.gff	Truncated	FEJIJDIP_96_pseudo_00144	321
