Category	Seq_ID	GC_Content
Short Intergenic	intergenic_0_26	15.38
Short Intergenic	intergenic_386_439	35.85
Short Intergenic	intergenic_2543_2733	24.21
Short Intergenic	intergenic_2354_2622	33.58
Short Intergenic	intergenic_6181_6407	26.55
Short Intergenic	intergenic_9500_9684	25.54
Short Intergenic	intergenic_17351_17430	31.65
Short Intergenic	intergenic_19288_19302	28.57
Short Intergenic	intergenic_35501_35524	21.74
Short Intergenic	intergenic_41101_41136	37.14
Short Intergenic	intergenic_43268_43491	30.49
Short Intergenic	intergenic_44928_45155	30.40
Short Intergenic	intergenic_45833_45953	22.50
Short Intergenic	intergenic_50592_50598	33.33
Short Intergenic	intergenic_55567_55682	36.52
Short Intergenic	intergenic_60465_60715	29.20
Short Intergenic	intergenic_61606_61751	35.17
Short Intergenic	intergenic_69001_69045	22.73
Short Intergenic	intergenic_73310_73424	31.58
Short Intergenic	intergenic_73496_73734	27.73
Short Intergenic	intergenic_75186_75456	27.41
Short Intergenic	intergenic_84904_84970	36.36
Short Intergenic	intergenic_85456_85700	31.56
Short Intergenic	intergenic_87289_87335	23.91
Short Intergenic	intergenic_87689_87739	28.00
Short Intergenic	intergenic_90835_91134	31.44
Short Intergenic	intergenic_92232_92294	17.74
Short Intergenic	intergenic_93982_94248	27.07
Short Intergenic	intergenic_108014_108195	29.28
Short Intergenic	intergenic_108891_108998	35.51
Short Intergenic	intergenic_113623_113785	32.10
Short Intergenic	intergenic_119314_119523	35.41
Short Intergenic	intergenic_128503_128654	34.44
Short Intergenic	intergenic_136063_136153	24.44
Short Intergenic	intergenic_141095_141242	23.81
Short Intergenic	intergenic_141854_141903	36.73
Short Intergenic	intergenic_144808_144945	27.74
Short Intergenic	intergenic_1233_1257	16.67
Short Intergenic	intergenic_2775_2820	20.00
Short Intergenic	intergenic_5799_6016	29.49
Short Intergenic	intergenic_6358_6368	30.00
Short Intergenic	intergenic_6674_6804	33.08
Short Intergenic	intergenic_8457_8657	28.50
Short Intergenic	intergenic_9440_9481	26.83
Short Intergenic	intergenic_10240_10439	28.14
Short Intergenic	intergenic_11351_11487	29.41
Short Intergenic	intergenic_20165_20220	34.55
Short Intergenic	intergenic_21087_21096	22.22
Short Intergenic	intergenic_21279_21332	15.09
Short Intergenic	intergenic_21548_21650	31.37
Short Intergenic	intergenic_33831_33950	36.13
Short Intergenic	intergenic_41568_41586	33.33
Short Intergenic	intergenic_45062_45123	27.87
Short Intergenic	intergenic_47049_47264	29.30
Short Intergenic	intergenic_48128_48213	28.24
Short Intergenic	intergenic_49182_49402	34.55
Short Intergenic	intergenic_53903_53952	20.41
Short Intergenic	intergenic_59905_60195	27.24
Short Intergenic	intergenic_72323_72531	39.42
Short Intergenic	intergenic_80209_80362	30.72
Short Intergenic	intergenic_87700_87962	35.11
Short Intergenic	intergenic_89360_89452	30.43
Short Intergenic	intergenic_91125_91188	19.05
Short Intergenic	intergenic_91461_91558	30.93
Short Intergenic	intergenic_97606_97837	20.35
Short Intergenic	intergenic_101098_101171	35.62
Short Intergenic	intergenic_104489_104554	32.31
Short Intergenic	intergenic_108655_108921	28.95
Short Intergenic	intergenic_111616_111742	30.16
Short Intergenic	intergenic_112585_112650	29.23
Short Intergenic	intergenic_116846_117035	29.10
