Category	Seq_ID	GC_Content
Short Intergenic	intergenic_0_244	32.38
Short Intergenic	intergenic_3528_3773	42.86
Short Intergenic	intergenic_5207_5213	33.33
Short Intergenic	intergenic_7108_7392	45.77
Short Intergenic	intergenic_8445_8596	59.60
Short Intergenic	intergenic_11219_11396	20.90
Short Intergenic	intergenic_11663_11719	35.71
Short Intergenic	intergenic_12214_12313	29.29
Short Intergenic	intergenic_17310_17564	36.61
Short Intergenic	intergenic_19092_19261	40.24
Short Intergenic	intergenic_20233_20345	32.14
Short Intergenic	intergenic_21965_22040	30.67
Short Intergenic	intergenic_22776_23026	36.40
Short Intergenic	intergenic_23830_24079	40.56
Short Intergenic	intergenic_29246_29474	42.98
Short Intergenic	intergenic_29639_29747	37.04
Short Intergenic	intergenic_31100_31221	26.45
Short Intergenic	intergenic_31392_31448	32.14
Short Intergenic	intergenic_32168_32376	37.50
Short Intergenic	intergenic_32553_32786	42.06
Short Intergenic	intergenic_33632_33654	22.73
Short Intergenic	intergenic_34221_34250	41.38
Short Intergenic	intergenic_35973_36079	34.91
Short Intergenic	intergenic_37768_37963	40.00
Short Intergenic	intergenic_45422_45484	54.84
Short Intergenic	intergenic_48015_48139	45.97
Short Intergenic	intergenic_50081_50193	38.39
Short Intergenic	intergenic_51943_52163	39.55
Short Intergenic	intergenic_54397_54481	32.14
Short Intergenic	intergenic_56632_56760	38.28
Short Intergenic	intergenic_57657_57949	43.84
Short Intergenic	intergenic_58756_59011	47.06
Short Intergenic	intergenic_60569_60745	48.30
Short Intergenic	intergenic_913_1148	32.77
Short Intergenic	intergenic_2105_2276	34.50
Short Intergenic	intergenic_2504_2638	30.60
Short Intergenic	intergenic_3646_3652	33.33
Short Intergenic	intergenic_4813_4938	33.60
Short Intergenic	intergenic_6696_6993	33.33
Short Intergenic	intergenic_9390_9592	44.55
Short Intergenic	intergenic_10477_10489	33.33
Short Intergenic	intergenic_12314_12576	32.44
Short Intergenic	intergenic_12900_13016	33.62
Short Intergenic	intergenic_14030_14118	46.59
Short Intergenic	intergenic_16411_16684	32.23
Short Intergenic	intergenic_17664_17955	47.08
Short Intergenic	intergenic_29818_29922	23.08
Short Intergenic	intergenic_32966_33158	41.67
Short Intergenic	intergenic_37354_37610	46.48
Short Intergenic	intergenic_39485_39702	39.63
Short Intergenic	intergenic_40026_40281	41.18
Short Intergenic	intergenic_40917_40957	22.50
Short Intergenic	intergenic_41170_41268	37.76
Short Intergenic	intergenic_43905_44107	33.66
Short Intergenic	intergenic_45007_45089	26.83
Short Intergenic	intergenic_47541_47783	32.64
Short Intergenic	intergenic_48254_48355	29.70
Short Intergenic	intergenic_52530_52604	54.05
Short Intergenic	intergenic_55977_56090	30.97
Short Intergenic	intergenic_56531_56775	45.90
Short Intergenic	intergenic_57630_57906	39.49
Short Intergenic	intergenic_3253_3424	45.61
Short Intergenic	intergenic_6628_6669	34.15
Short Intergenic	intergenic_6741_6835	41.49
Short Intergenic	intergenic_8741_8913	33.14
Short Intergenic	intergenic_9735_10013	36.33
Short Intergenic	intergenic_11522_11723	42.29
Short Intergenic	intergenic_12146_12411	33.21
Short Intergenic	intergenic_22027_22269	38.84
Short Intergenic	intergenic_23049_23335	33.92
Short Intergenic	intergenic_24403_24437	26.47
Short Intergenic	intergenic_25469_25471	0.00
Short Intergenic	intergenic_28843_29076	43.78
Short Intergenic	intergenic_30042_30290	35.89
Short Intergenic	intergenic_31255_31371	31.90
Short Intergenic	intergenic_36443_36720	49.46
Short Intergenic	intergenic_41040_41338	25.84
Short Intergenic	intergenic_594_726	44.70
Short Intergenic	intergenic_882_1148	36.47
Short Intergenic	intergenic_1610_1735	39.20
Short Intergenic	intergenic_2821_2964	48.95
Short Intergenic	intergenic_7957_8010	37.74
Short Intergenic	intergenic_14665_14775	36.36
Short Intergenic	intergenic_18955_18990	45.71
Short Intergenic	intergenic_19212_19504	38.36
Short Intergenic	intergenic_22870_23087	42.40
Short Intergenic	intergenic_25793_25963	41.18
Short Intergenic	intergenic_27659_27738	40.51
Short Intergenic	intergenic_27984_28072	42.05
Short Intergenic	intergenic_28495_28653	36.71
Short Intergenic	intergenic_31103_31251	41.89
Short Intergenic	intergenic_34867_34941	41.89
Short Intergenic	intergenic_39125_39303	33.15
Short Intergenic	intergenic_1302_1326	25.00
Short Intergenic	intergenic_2322_2426	32.69
Short Intergenic	intergenic_6268_6442	47.13
Short Intergenic	intergenic_9031_9270	37.24
Short Intergenic	intergenic_13776_14054	39.57
Short Intergenic	intergenic_15275_15377	29.41
Short Intergenic	intergenic_15932_16216	44.01
Short Intergenic	intergenic_19690_19942	36.51
Short Intergenic	intergenic_20923_20941	33.33
Short Intergenic	intergenic_21241_21321	37.50
Short Intergenic	intergenic_21576_21693	35.90
Short Intergenic	intergenic_26569_26722	45.10
Short Intergenic	intergenic_27214_27352	35.51
Short Intergenic	intergenic_27424_27458	26.47
Short Intergenic	intergenic_29601_29875	44.16
Short Intergenic	intergenic_30376_30398	36.36
Short Intergenic	intergenic_32732_32853	41.32
Short Intergenic	intergenic_37075_37321	36.18
Short Intergenic	intergenic_37705_37916	49.29
Short Intergenic	intergenic_38168_38367	46.23
Short Intergenic	intergenic_41409_41527	26.27
Short Intergenic	intergenic_41761_42013	39.68
Short Intergenic	intergenic_2523_2563	32.50
Short Intergenic	intergenic_3241_3488	34.01
Short Intergenic	intergenic_4313_4377	34.38
Short Intergenic	intergenic_6707_6960	27.27
Short Intergenic	intergenic_10902_11153	33.86
Short Intergenic	intergenic_11930_12135	55.61
Short Intergenic	intergenic_1162_1184	31.82
Short Intergenic	intergenic_2249_2286	32.43
Short Intergenic	intergenic_3383_3561	46.63
Short Intergenic	intergenic_6133_6401	41.79
Short Intergenic	intergenic_10149_10212	42.86
Short Intergenic	intergenic_11364_11596	47.41
Short Intergenic	intergenic_14917_15015	43.88
Short Intergenic	intergenic_16017_16145	41.41
Short Intergenic	intergenic_17027_17104	33.77
Short Intergenic	intergenic_17323_17520	42.13
Short Intergenic	intergenic_18159_18284	24.80
Short Intergenic	intergenic_18587_18835	29.44
Short Intergenic	intergenic_20536_20787	39.44
Short Intergenic	intergenic_21714_21978	42.80
Short Intergenic	intergenic_22410_22429	31.58
Short Intergenic	intergenic_23353_23507	36.36
Short Intergenic	intergenic_24392_24600	28.85
Short Intergenic	intergenic_25464_25521	29.82
Short Intergenic	intergenic_27636_27640	50.00
Short Intergenic	intergenic_30229_30309	48.75
Short Intergenic	intergenic_30573_30772	41.71
Short Intergenic	intergenic_38266_38524	43.41
Short Intergenic	intergenic_40831_40917	53.49
Short Intergenic	intergenic_41220_41511	33.68
Short Intergenic	intergenic_733_866	34.59
Short Intergenic	intergenic_8088_8352	37.50
Short Intergenic	intergenic_9096_9139	48.84
Short Intergenic	intergenic_11140_11242	38.24
Short Intergenic	intergenic_11422_11448	23.08
Short Intergenic	intergenic_2810_3076	25.56
Short Intergenic	intergenic_7485_7774	37.72
Short Intergenic	intergenic_9061_9190	29.46
Short Intergenic	intergenic_10090_10344	38.19
Short Intergenic	intergenic_11196_11198	0.00
Short Intergenic	intergenic_12377_12558	37.57
Short Intergenic	intergenic_14371_14392	42.86
Short Intergenic	intergenic_17046_17163	35.90
Short Intergenic	intergenic_20203_20429	34.07
Short Intergenic	intergenic_21879_21900	19.05
Short Intergenic	intergenic_22287_22465	25.28
Short Intergenic	intergenic_22726_22991	38.49
Short Intergenic	intergenic_25062_25305	37.45
Short Intergenic	intergenic_25719_25922	43.84
Short Intergenic	intergenic_26654_26868	32.71
Short Intergenic	intergenic_1008_1170	33.33
Short Intergenic	intergenic_2043_2168	40.80
Short Intergenic	intergenic_3683_3896	38.50
Short Intergenic	intergenic_5531_5824	49.83
Short Intergenic	intergenic_6640_6644	50.00
Short Intergenic	intergenic_7145_7330	44.32
Short Intergenic	intergenic_8473_8644	39.18
Short Intergenic	intergenic_9742_9918	31.25
Short Intergenic	intergenic_10014_10076	51.61
Short Intergenic	intergenic_11081_11335	31.10
Short Intergenic	intergenic_11902_12082	44.44
Short Intergenic	intergenic_7195_7463	32.09
Short Intergenic	intergenic_10305_10389	42.86
Short Intergenic	intergenic_624_627	33.33
Short Intergenic	intergenic_969_1268	37.46
Short Intergenic	intergenic_2012_2235	48.43
Short Intergenic	intergenic_2931_3089	44.30
Short Intergenic	intergenic_5550_5682	31.82
Short Intergenic	intergenic_6501_6561	20.00
Short Intergenic	intergenic_9440_9616	42.61
Short Intergenic	intergenic_10969_11161	48.44
Short Intergenic	intergenic_12115_12310	41.03
Short Intergenic	intergenic_12481_12688	42.03
Short Intergenic	intergenic_13699_13760	37.70
Short Intergenic	intergenic_15331_15483	35.53
Short Intergenic	intergenic_17831_17859	39.29
Short Intergenic	intergenic_18801_18834	27.27
Short Intergenic	intergenic_21183_21218	25.71
Short Intergenic	intergenic_22100_22146	34.78
Short Intergenic	intergenic_35208_35492	38.73
Short Intergenic	intergenic_36389_36444	27.27
Short Intergenic	intergenic_36903_37129	42.48
Short Intergenic	intergenic_3186_3459	42.12
Short Intergenic	intergenic_5035_5241	40.78
Short Intergenic	intergenic_6196_6374	33.15
Short Intergenic	intergenic_6602_6820	33.49
Short Intergenic	intergenic_11378_11613	42.13
Short Intergenic	intergenic_12081_12130	32.65
Short Intergenic	intergenic_12526_12547	33.33
Short Intergenic	intergenic_17371_17554	39.34
Short Intergenic	intergenic_18262_18450	40.96
Short Intergenic	intergenic_19155_19446	50.17
Short Intergenic	intergenic_1107_1346	37.66
Short Intergenic	intergenic_3713_3818	46.67
Short Intergenic	intergenic_4835_4837	0.00
Short Intergenic	intergenic_5935_5939	25.00
Short Intergenic	intergenic_6554_6557	66.67
Short Intergenic	intergenic_12313_12333	45.00
Short Intergenic	intergenic_2077_2160	32.53
Short Intergenic	intergenic_3045_3213	27.38
Short Intergenic	intergenic_4437_4576	46.76
Short Intergenic	intergenic_9015_9085	40.00
Short Intergenic	intergenic_11089_11320	47.62
Short Intergenic	intergenic_13477_13568	28.57
Short Intergenic	intergenic_16214_16321	37.38
Short Intergenic	intergenic_16552_16789	49.79
Short Intergenic	intergenic_18397_18534	29.93
Short Intergenic	intergenic_24068_24347	41.94
Short Intergenic	intergenic_24659_24801	34.51
Short Intergenic	intergenic_25890_26122	37.93
Short Intergenic	intergenic_27451_27626	56.57
Short Intergenic	intergenic_29602_29656	35.19
Short Intergenic	intergenic_31948_32062	36.84
Short Intergenic	intergenic_34051_34063	8.33
Short Intergenic	intergenic_34464_34624	36.88
Short Intergenic	intergenic_34795_34877	43.90
Short Intergenic	intergenic_36878_36995	43.59
Short Intergenic	intergenic_4045_4178	40.60
Short Intergenic	intergenic_9107_9215	36.11
Short Intergenic	intergenic_10538_10775	32.49
Short Intergenic	intergenic_13151_13265	25.44
Short Intergenic	intergenic_16201_16353	40.79
Short Intergenic	intergenic_20170_20299	44.19
Short Intergenic	intergenic_21071_21260	41.80
Short Intergenic	intergenic_24189_24292	36.89
Short Intergenic	intergenic_24886_25084	35.86
Short Intergenic	intergenic_26203_26428	34.67
Short Intergenic	intergenic_26674_26778	40.38
Short Intergenic	intergenic_28605_28805	34.00
Short Intergenic	intergenic_33857_33926	37.68
Short Intergenic	intergenic_900_1073	35.84
Short Intergenic	intergenic_1553_1557	0.00
Short Intergenic	intergenic_2826_3033	34.78
Short Intergenic	intergenic_3258_3422	42.68
Short Intergenic	intergenic_5921_6216	35.93
Short Intergenic	intergenic_6606_6678	31.94
Short Intergenic	intergenic_7554_7659	41.90
Short Intergenic	intergenic_9855_10128	38.46
Short Intergenic	intergenic_498_783	37.19
Short Intergenic	intergenic_1035_1041	33.33
Short Intergenic	intergenic_2691_2744	22.64
Short Intergenic	intergenic_3854_3862	37.50
Short Intergenic	intergenic_7650_7672	59.09
Short Intergenic	intergenic_8914_8957	32.56
Short Intergenic	intergenic_11415_11463	43.75
Short Intergenic	intergenic_11688_11879	39.79
Short Intergenic	intergenic_1725_1997	30.15
Short Intergenic	intergenic_3950_4059	36.70
Short Intergenic	intergenic_5274_5378	45.19
Short Intergenic	intergenic_10725_10734	33.33
Short Intergenic	intergenic_12471_12726	33.73
Short Intergenic	intergenic_4615_4722	32.71
Short Intergenic	intergenic_7858_7884	38.46
Short Intergenic	intergenic_9183_9398	42.79
Short Intergenic	intergenic_17419_17642	31.84
Short Intergenic	intergenic_21119_21227	48.15
Short Intergenic	intergenic_27872_27917	33.33
Short Intergenic	intergenic_29994_30140	28.77
Short Intergenic	intergenic_30770_30972	37.62
Short Intergenic	intergenic_33462_33697	34.47
Short Intergenic	intergenic_3834_3890	23.21
Short Intergenic	intergenic_4880_4895	40.00
Short Intergenic	intergenic_5702_5711	33.33
Short Intergenic	intergenic_6884_6928	29.55
Short Intergenic	intergenic_8862_8905	27.91
Short Intergenic	intergenic_10309_10366	19.30
Short Intergenic	intergenic_11275_11308	42.42
