Category	Seq_ID	GC_Content
Short Intergenic	intergenic_0_148	29.73
Short Intergenic	intergenic_1635_1772	35.04
Short Intergenic	intergenic_1848_1922	33.78
Short Intergenic	intergenic_1997_2272	32.73
Short Intergenic	intergenic_5146_5250	35.58
Short Intergenic	intergenic_5361_5416	36.36
Short Intergenic	intergenic_1518_1579	27.87
Short Intergenic	intergenic_1744_1812	32.35
Short Intergenic	intergenic_2685_2820	45.93
Short Intergenic	intergenic_3039_3163	45.16
Short Intergenic	intergenic_221_446	28.44
Short Intergenic	intergenic_1644_1814	22.35
Short Intergenic	intergenic_2543_2719	35.80
Short Intergenic	intergenic_3361_3457	28.12
Short Intergenic	intergenic_3976_4098	55.74
Short Intergenic	intergenic_5870_5966	32.29
Short Intergenic	intergenic_6716_6737	33.33
Short Intergenic	intergenic_10305_10415	24.55
Short Intergenic	intergenic_12880_12989	39.45
Short Intergenic	intergenic_13484_13540	19.64
Short Intergenic	intergenic_13804_13961	31.21
Short Intergenic	intergenic_15551_15762	30.81
Short Intergenic	intergenic_17612_17614	0.00
Short Intergenic	intergenic_17935_18151	36.11
Short Intergenic	intergenic_18967_19007	35.00
Short Intergenic	intergenic_24710_24987	35.38
Short Intergenic	intergenic_25521_25586	32.31
Short Intergenic	intergenic_25934_26090	41.03
Short Intergenic	intergenic_26951_27034	36.14
Short Intergenic	intergenic_27808_27827	36.84
Short Intergenic	intergenic_28574_28581	28.57
Short Intergenic	intergenic_37764_38002	40.76
Short Intergenic	intergenic_38437_38617	30.56
Short Intergenic	intergenic_44844_44852	12.50
Short Intergenic	intergenic_45032_45078	39.13
Short Intergenic	intergenic_45459_45544	29.41
Short Intergenic	intergenic_46030_46305	43.27
Short Intergenic	intergenic_46992_47202	45.71
Short Intergenic	intergenic_48417_48542	31.20
Short Intergenic	intergenic_51426_51432	0.00
Short Intergenic	intergenic_1451_1523	18.06
Short Intergenic	intergenic_2525_2761	21.61
Short Intergenic	intergenic_4133_4245	45.54
Short Intergenic	intergenic_4614_4809	34.87
Short Intergenic	intergenic_4911_4941	46.67
Short Intergenic	intergenic_6658_6698	40.00
Short Intergenic	intergenic_11968_12028	33.33
Short Intergenic	intergenic_13015_13192	35.03
Short Intergenic	intergenic_347_540	32.12
Short Intergenic	intergenic_5071_5243	37.79
Short Intergenic	intergenic_6776_7069	38.57
Short Intergenic	intergenic_7996_8162	34.94
Short Intergenic	intergenic_8768_8780	41.67
Short Intergenic	intergenic_2290_2304	7.14
Short Intergenic	intergenic_2418_2431	53.85
Short Intergenic	intergenic_4282_4522	26.67
Short Intergenic	intergenic_4897_5060	29.45
Short Intergenic	intergenic_6500_6547	31.91
Short Intergenic	intergenic_7513_7649	32.35
Short Intergenic	intergenic_9494_9505	36.36
Short Intergenic	intergenic_9763_9839	27.63
Short Intergenic	intergenic_10913_11105	35.42
Short Intergenic	intergenic_11756_11790	23.53
Short Intergenic	intergenic_11886_12115	41.05
Short Intergenic	intergenic_1837_1848	27.27
Short Intergenic	intergenic_5356_5409	16.98
Short Intergenic	intergenic_8264_8520	37.11
Short Intergenic	intergenic_8862_8944	26.83
Short Intergenic	intergenic_10111_10167	28.57
Short Intergenic	intergenic_12702_12710	37.50
Short Intergenic	intergenic_13034_13140	36.79
Short Intergenic	intergenic_1011_1166	28.39
Short Intergenic	intergenic_1562_1565	33.33
Short Intergenic	intergenic_1763_1929	43.37
Short Intergenic	intergenic_2877_3096	42.92
Short Intergenic	intergenic_4617_4779	32.72
Short Intergenic	intergenic_5334_5336	100.00
Short Intergenic	intergenic_5867_6013	45.21
Short Intergenic	intergenic_6445_6685	34.58
Short Intergenic	intergenic_6931_7034	30.10
Short Intergenic	intergenic_7790_7847	43.86
Short Intergenic	intergenic_9979_10019	52.50
Short Intergenic	intergenic_3504_3638	42.54
Short Intergenic	intergenic_5801_6099	31.21
Short Intergenic	intergenic_7965_8155	36.84
Short Intergenic	intergenic_326_406	23.75
Short Intergenic	intergenic_1702_1730	42.86
Short Intergenic	intergenic_3712_3819	46.73
Short Intergenic	intergenic_7552_7771	28.77
Short Intergenic	intergenic_8209_8295	37.21
Short Intergenic	intergenic_10179_10184	0.00
Short Intergenic	intergenic_10436_10558	31.15
Short Intergenic	intergenic_11647_11880	33.48
Short Intergenic	intergenic_13194_13338	44.44
Short Intergenic	intergenic_15210_15264	35.19
Short Intergenic	intergenic_15337_15564	41.41
Short Intergenic	intergenic_16074_16321	31.58
Short Intergenic	intergenic_16558_16672	40.35
Short Intergenic	intergenic_17870_17884	28.57
Short Intergenic	intergenic_18988_19177	31.22
Short Intergenic	intergenic_20095_20323	34.65
Short Intergenic	intergenic_2766_2778	50.00
Short Intergenic	intergenic_3228_3424	31.12
Short Intergenic	intergenic_5380_5471	21.98
Short Intergenic	intergenic_5651_5804	38.56
Short Intergenic	intergenic_6569_6727	31.65
Short Intergenic	intergenic_9460_9644	42.93
Short Intergenic	intergenic_11387_11650	34.22
Short Intergenic	intergenic_12100_12125	36.00
Short Intergenic	intergenic_12584_12702	42.37
Short Intergenic	intergenic_13743_13881	34.06
Short Intergenic	intergenic_1979_2019	17.50
Short Intergenic	intergenic_3228_3404	19.89
Short Intergenic	intergenic_4316_4339	13.04
Short Intergenic	intergenic_6372_6414	14.29
Short Intergenic	intergenic_12415_12524	40.37
Short Intergenic	intergenic_13022_13033	36.36
Short Intergenic	intergenic_16467_16471	50.00
Short Intergenic	intergenic_19487_19615	42.97
Short Intergenic	intergenic_21970_22214	36.07
Short Intergenic	intergenic_22703_22800	48.45
Short Intergenic	intergenic_25647_25902	30.20
Short Intergenic	intergenic_26349_26523	31.03
Short Intergenic	intergenic_27994_28127	28.57
Short Intergenic	intergenic_31882_32052	30.59
Short Intergenic	intergenic_32191_32234	55.81
Short Intergenic	intergenic_32735_32807	56.94
Short Intergenic	intergenic_33995_34134	33.81
Short Intergenic	intergenic_376_419	34.88
Short Intergenic	intergenic_1520_1637	37.61
Short Intergenic	intergenic_889_932	30.23
Short Intergenic	intergenic_2030_2104	33.78
Short Intergenic	intergenic_2293_2415	31.15
