Category	Seq_ID	GC_Content
Short Intergenic	intergenic_0_160	43.75
Short Intergenic	intergenic_1542_1564	40.91
Short Intergenic	intergenic_388_539	27.81
Short Intergenic	intergenic_611_689	30.77
Short Intergenic	intergenic_774_951	32.77
Short Intergenic	intergenic_3301_3376	41.33
Short Intergenic	intergenic_3643_3688	40.00
Short Intergenic	intergenic_3841_3951	27.27
Short Intergenic	intergenic_4745_4933	36.70
Short Intergenic	intergenic_5170_5372	48.02
Short Intergenic	intergenic_5585_5639	37.04
Short Intergenic	intergenic_720_977	37.74
Short Intergenic	intergenic_1646_1758	42.86
Short Intergenic	intergenic_1164_1167	0.00
Short Intergenic	intergenic_1452_1577	34.40
Short Intergenic	intergenic_2894_3176	34.04
Short Intergenic	intergenic_4001_4085	33.33
Short Intergenic	intergenic_4410_4533	34.15
Short Intergenic	intergenic_4791_4851	36.67
Short Intergenic	intergenic_4995_5265	38.52
Short Intergenic	intergenic_5882_5912	50.00
Short Intergenic	intergenic_9044_9065	28.57
Short Intergenic	intergenic_9386_9420	47.06
Short Intergenic	intergenic_1747_1951	41.67
Short Intergenic	intergenic_282_300	50.00
Short Intergenic	intergenic_873_1029	41.03
Short Intergenic	intergenic_1334_1341	28.57
Short Intergenic	intergenic_4059_4098	41.03
Short Intergenic	intergenic_4449_4519	44.29
Short Intergenic	intergenic_4687_4902	38.60
Short Intergenic	intergenic_5439_5619	30.56
Short Intergenic	intergenic_8122_8304	37.91
Short Intergenic	intergenic_8931_8958	29.63
Short Intergenic	intergenic_9084_9166	35.37
Short Intergenic	intergenic_9514_9765	41.04
Short Intergenic	intergenic_10278_10303	40.00
Short Intergenic	intergenic_10498_10617	31.93
Short Intergenic	intergenic_10764_10922	30.38
Short Intergenic	intergenic_11273_11337	40.62
Short Intergenic	intergenic_13177_13209	50.00
Short Intergenic	intergenic_14465_14479	42.86
Short Intergenic	intergenic_15161_15211	32.00
Short Intergenic	intergenic_15721_15798	46.75
Short Intergenic	intergenic_16086_16144	34.48
Short Intergenic	intergenic_18517_18604	41.38
Short Intergenic	intergenic_18778_18911	34.59
Short Intergenic	intergenic_19385_19398	23.08
Short Intergenic	intergenic_21786_21831	28.89
Short Intergenic	intergenic_23483_23574	35.16
Short Intergenic	intergenic_23829_23980	33.77
Short Intergenic	intergenic_1667_1795	42.19
Short Intergenic	intergenic_2722_2889	32.93
Short Intergenic	intergenic_5928_5933	40.00
Short Intergenic	intergenic_6359_6455	42.71
Short Intergenic	intergenic_9023_9185	35.80
Short Intergenic	intergenic_9353_9370	41.18
Short Intergenic	intergenic_10297_10407	34.55
Short Intergenic	intergenic_12241_12412	37.43
Short Intergenic	intergenic_15721_15780	32.20
Short Intergenic	intergenic_16338_16439	38.61
Short Intergenic	intergenic_18139_18148	22.22
Short Intergenic	intergenic_19604_19654	18.00
Short Intergenic	intergenic_20473_20559	39.53
Short Intergenic	intergenic_22098_22165	28.36
Short Intergenic	intergenic_22516_22579	41.27
Short Intergenic	intergenic_997_1086	28.09
Short Intergenic	intergenic_1764_1852	37.50
Short Intergenic	intergenic_2209_2332	23.58
Short Intergenic	intergenic_2590_2825	48.94
Short Intergenic	intergenic_766_920	47.40
Short Intergenic	intergenic_1313_1454	33.33
Short Intergenic	intergenic_1559_1711	28.95
Short Intergenic	intergenic_2956_3179	43.05
Short Intergenic	intergenic_1995_2027	21.88
Short Intergenic	intergenic_2613_2715	32.35
Short Intergenic	intergenic_3015_3024	44.44
Short Intergenic	intergenic_3177_3375	41.92
Short Intergenic	intergenic_4648_4867	20.55
Short Intergenic	intergenic_5137_5345	28.85
Short Intergenic	intergenic_7497_7507	60.00
Short Intergenic	intergenic_7912_7930	44.44
Short Intergenic	intergenic_673_884	36.02
Short Intergenic	intergenic_1902_2102	35.50
Short Intergenic	intergenic_2315_2341	46.15
Short Intergenic	intergenic_2521_2624	39.81
Short Intergenic	intergenic_2792_2944	26.32
Short Intergenic	intergenic_3430_3474	38.64
Short Intergenic	intergenic_4850_5089	34.31
Short Intergenic	intergenic_5722_5808	46.51
Short Intergenic	intergenic_7169_7241	37.50
Short Intergenic	intergenic_7529_7583	37.04
Short Intergenic	intergenic_7736_7862	34.13
Short Intergenic	intergenic_8057_8256	35.18
Short Intergenic	intergenic_10081_10100	57.89
Short Intergenic	intergenic_10307_10317	30.00
Short Intergenic	intergenic_10638_10810	43.02
Short Intergenic	intergenic_17549_17616	38.81
Short Intergenic	intergenic_19116_19148	40.62
Short Intergenic	intergenic_2375_2418	39.53
Short Intergenic	intergenic_6839_7036	32.49
Short Intergenic	intergenic_8314_8502	36.17
Short Intergenic	intergenic_9579_9621	33.33
Short Intergenic	intergenic_10947_11092	37.24
Short Intergenic	intergenic_11494_11675	43.09
Short Intergenic	intergenic_13065_13083	50.00
Short Intergenic	intergenic_14337_14560	32.74
Short Intergenic	intergenic_15437_15522	47.06
Short Intergenic	intergenic_16206_16287	45.68
Short Intergenic	intergenic_16575_16870	36.61
Short Intergenic	intergenic_17758_17809	23.53
Short Intergenic	intergenic_18322_18390	35.29
Short Intergenic	intergenic_442_487	37.78
Short Intergenic	intergenic_2927_2938	54.55
Short Intergenic	intergenic_3027_3112	40.00
Short Intergenic	intergenic_3241_3469	45.18
Short Intergenic	intergenic_3562_3728	43.37
Short Intergenic	intergenic_4694_4704	40.00
Short Intergenic	intergenic_2654_2798	36.81
Short Intergenic	intergenic_2978_3023	33.33
Short Intergenic	intergenic_3245_3371	40.48
Short Intergenic	intergenic_3482_3526	52.27
Short Intergenic	intergenic_3811_3864	43.40
Short Intergenic	intergenic_4655_4661	50.00
Short Intergenic	intergenic_5090_5311	38.46
Short Intergenic	intergenic_5973_6060	33.33
Short Intergenic	intergenic_6507_6700	23.83
Short Intergenic	intergenic_376_382	33.33
Short Intergenic	intergenic_595_625	50.00
Short Intergenic	intergenic_751_836	43.53
Short Intergenic	intergenic_1286_1291	0.00
Short Intergenic	intergenic_1441_1498	40.35
Short Intergenic	intergenic_1630_1840	48.10
Short Intergenic	intergenic_2026_2197	44.44
Short Intergenic	intergenic_1504_1599	34.74
