Category	Seq_ID	GC_Content
Short Intergenic	intergenic_0_96	23.96
Short Intergenic	intergenic_1239_1275	30.56
Short Intergenic	intergenic_10489_10699	25.24
Short Intergenic	intergenic_9907_10019	35.71
Short Intergenic	intergenic_12488_12627	30.22
Short Intergenic	intergenic_12762_12788	42.31
Short Intergenic	intergenic_13572_13781	30.62
Short Intergenic	intergenic_2844_2930	33.72
Short Intergenic	intergenic_4307_4492	23.24
Short Intergenic	intergenic_2084_2117	33.33
Short Intergenic	intergenic_2357_2360	33.33
Short Intergenic	intergenic_2840_2922	30.49
Short Intergenic	intergenic_421_502	38.27
Short Intergenic	intergenic_3751_3804	37.74
Short Intergenic	intergenic_2038_2123	32.94
Short Intergenic	intergenic_5627_5726	24.24
Short Intergenic	intergenic_9732_9931	28.14
Short Intergenic	intergenic_3665_3908	31.69
Short Intergenic	intergenic_3550_3556	33.33
Short Intergenic	intergenic_8520_8635	36.52
Short Intergenic	intergenic_13418_13668	29.20
Short Intergenic	intergenic_14559_14704	35.86
Short Intergenic	intergenic_21912_21956	22.73
Short Intergenic	intergenic_3656_3687	16.13
Short Intergenic	intergenic_1287_1454	32.34
Short Intergenic	intergenic_3097_3269	30.81
Short Intergenic	intergenic_2486_2492	16.67
Short Intergenic	intergenic_5259_5293	38.24
Short Intergenic	intergenic_1570_1716	23.29
Short Intergenic	intergenic_3280_3324	25.00
Short Intergenic	intergenic_5911_5935	37.50
Short Intergenic	intergenic_2404_2503	18.18
Short Intergenic	intergenic_1595_1642	25.53
Short Intergenic	intergenic_4462_4566	26.92
Short Intergenic	intergenic_7908_8082	31.03
Short Intergenic	intergenic_12492_12624	27.27
Short Intergenic	intergenic_572_712	38.57
Short Intergenic	intergenic_4689_4814	27.20
Short Intergenic	intergenic_5126_5180	20.37
Short Intergenic	intergenic_8639_8769	27.69
Short Intergenic	intergenic_592_780	30.32
Short Intergenic	intergenic_2511_2754	30.86
Short Intergenic	intergenic_3576_3644	26.47
Short Intergenic	intergenic_4040_4154	23.68
