Category	Seq_ID	GC_Content
Short Intergenic	intergenic_2553_2750	31.98
Short Intergenic	intergenic_6842_6897	27.27
Short Intergenic	intergenic_7875_8104	31.44
Short Intergenic	intergenic_8767_8932	26.06
Short Intergenic	intergenic_13490_13669	31.28
Short Intergenic	intergenic_15852_16026	28.74
Short Intergenic	intergenic_16560_16614	29.63
Short Intergenic	intergenic_16896_17003	33.64
Short Intergenic	intergenic_20400_20603	34.98
Short Intergenic	intergenic_1130_1352	31.98
Short Intergenic	intergenic_3255_3318	25.40
Short Intergenic	intergenic_4812_4897	32.94
Short Intergenic	intergenic_935_997	22.58
Short Intergenic	intergenic_2212_2226	14.29
Short Intergenic	intergenic_4039_4200	35.40
Short Intergenic	intergenic_4470_4496	42.31
Short Intergenic	intergenic_5219_5427	23.56
Short Intergenic	intergenic_1250_1482	30.60
Short Intergenic	intergenic_2499_2746	33.60
Short Intergenic	intergenic_3349_3481	28.79
Short Intergenic	intergenic_5233_5404	28.65
Short Intergenic	intergenic_3023_3193	30.00
Short Intergenic	intergenic_3580_3685	28.57
Short Intergenic	intergenic_1489_1650	24.22
Short Intergenic	intergenic_2029_2238	28.71
Short Intergenic	intergenic_3771_3851	25.00
Short Intergenic	intergenic_634_680	26.09
Short Intergenic	intergenic_1431_1640	30.62
Short Intergenic	intergenic_2424_2450	42.31
Short Intergenic	intergenic_2585_2724	30.22
Short Intergenic	intergenic_5151_5313	34.57
Short Intergenic	intergenic_1140_1300	31.88
Short Intergenic	intergenic_3366_3403	29.73
Short Intergenic	intergenic_4924_4931	28.57
Short Intergenic	intergenic_5051_5306	34.12
Short Intergenic	intergenic_235_349	31.58
Short Intergenic	intergenic_4614_4658	22.73
Short Intergenic	intergenic_9609_9907	28.19
Short Intergenic	intergenic_540_777	33.76
Short Intergenic	intergenic_1128_1253	29.60
Short Intergenic	intergenic_3183_3459	30.80
Short Intergenic	intergenic_3954_4045	27.47
Short Intergenic	intergenic_2115_2365	29.20
Short Intergenic	intergenic_3256_3401	35.17
Short Intergenic	intergenic_4077_4335	30.62
Short Intergenic	intergenic_2609_2789	25.56
Short Intergenic	intergenic_1131_1374	31.28
Short Intergenic	intergenic_5092_5177	38.82
Short Intergenic	intergenic_2654_2779	27.20
Short Intergenic	intergenic_3091_3144	20.75
Short Intergenic	intergenic_1393_1425	43.75
Short Intergenic	intergenic_4990_5133	29.37
Short Intergenic	intergenic_1267_1468	30.35
Short Intergenic	intergenic_1807_1923	29.31
Short Intergenic	intergenic_7382_7501	36.13
Short Intergenic	intergenic_9614_9749	37.78
Short Intergenic	intergenic_953_1013	35.00
Short Intergenic	intergenic_1087_1368	31.67
Short Intergenic	intergenic_4888_5083	34.36
Short Intergenic	intergenic_442_462	40.00
Short Intergenic	intergenic_708_773	27.69
Short Intergenic	intergenic_2204_2479	30.18
Short Intergenic	intergenic_3161_3334	32.95
Short Intergenic	intergenic_3485_3688	29.06
Short Intergenic	intergenic_362_451	34.83
Short Intergenic	intergenic_1561_1837	30.07
Short Intergenic	intergenic_571_724	30.07
Short Intergenic	intergenic_798_990	29.69
Short Intergenic	intergenic_1853_1856	0.00
Short Intergenic	intergenic_2282_2405	30.08
Short Intergenic	intergenic_3122_3155	27.27
Short Intergenic	intergenic_3335_3423	30.68
Short Intergenic	intergenic_3966_4056	28.89
Short Intergenic	intergenic_2117_2349	27.16
Short Intergenic	intergenic_3186_3259	26.03
Short Intergenic	intergenic_3475_3552	28.57
Short Intergenic	intergenic_4815_4944	29.46
Short Intergenic	intergenic_2943_3045	30.39
Short Intergenic	intergenic_4644_4938	29.93
Short Intergenic	intergenic_5161_5343	30.77
Short Intergenic	intergenic_8927_9166	29.71
Short Intergenic	intergenic_9424_9654	28.26
Short Intergenic	intergenic_3073_3244	29.82
Short Intergenic	intergenic_1865_1867	50.00
Short Intergenic	intergenic_4906_4930	20.83
Short Intergenic	intergenic_1622_1843	33.94
Short Intergenic	intergenic_2113_2247	41.04
Short Intergenic	intergenic_4027_4032	20.00
Short Intergenic	intergenic_4704_4897	27.98
Short Intergenic	intergenic_1763_1920	36.94
Short Intergenic	intergenic_416_675	30.89
Short Intergenic	intergenic_1335_1383	37.50
Short Intergenic	intergenic_3455_3541	40.70
Short Intergenic	intergenic_4606_4850	31.56
Short Intergenic	intergenic_1440_1707	31.84
Short Intergenic	intergenic_3135_3359	34.38
Short Intergenic	intergenic_4247_4477	27.83
Short Intergenic	intergenic_4567_4837	28.52
Short Intergenic	intergenic_597_643	15.22
Short Intergenic	intergenic_4563_4828	22.26
Short Intergenic	intergenic_1457_1511	25.93
Short Intergenic	intergenic_2663_2807	30.56
Short Intergenic	intergenic_3620_3653	36.36
Short Intergenic	intergenic_1559_1713	29.87
Short Intergenic	intergenic_5059_5296	32.91
Short Intergenic	intergenic_6475_6550	34.67
Short Intergenic	intergenic_2077_2110	33.33
Short Intergenic	intergenic_2350_2365	40.00
Short Intergenic	intergenic_2833_2915	30.49
Short Intergenic	intergenic_2813_2818	0.00
Short Intergenic	intergenic_3085_3270	24.86
Short Intergenic	intergenic_2503_2557	16.67
Short Intergenic	intergenic_4603_4717	24.56
Short Intergenic	intergenic_404_685	29.18
Short Intergenic	intergenic_1186_1328	38.03
Short Intergenic	intergenic_4461_4709	37.50
Short Intergenic	intergenic_4451_4695	27.05
Short Intergenic	intergenic_602_689	32.18
Short Intergenic	intergenic_1013_1273	35.38
Short Intergenic	intergenic_2806_2919	28.32
Short Intergenic	intergenic_3687_3788	34.65
Short Intergenic	intergenic_1511_1566	34.55
Short Intergenic	intergenic_2625_2678	15.09
Short Intergenic	intergenic_4533_4654	34.71
Short Intergenic	intergenic_3070_3159	14.61
Short Intergenic	intergenic_3318_3332	0.00
Short Intergenic	intergenic_6698_6705	0.00
Short Intergenic	intergenic_8020_8080	16.67
Short Intergenic	intergenic_1474_1481	28.57
Short Intergenic	intergenic_4142_4286	33.33
Short Intergenic	intergenic_4553_4614	31.15
Short Intergenic	intergenic_1198_1224	46.15
Short Intergenic	intergenic_950_1167	35.48
Short Intergenic	intergenic_4261_4555	23.81
Short Intergenic	intergenic_4371_4539	32.14
Short Intergenic	intergenic_3358_3435	33.77
Short Intergenic	intergenic_2702_2973	31.37
Short Intergenic	intergenic_3207_3267	36.67
Short Intergenic	intergenic_4233_4493	33.46
Short Intergenic	intergenic_1673_1890	25.81
Short Intergenic	intergenic_1421_1588	32.34
Short Intergenic	intergenic_253_319	24.24
Short Intergenic	intergenic_4407_4457	32.00
Short Intergenic	intergenic_697_882	29.73
Short Intergenic	intergenic_1212_1293	33.33
Short Intergenic	intergenic_1596_1789	32.12
Short Intergenic	intergenic_3519_3774	27.45
Short Intergenic	intergenic_5058_5288	24.78
Short Intergenic	intergenic_5405_5565	23.75
Short Intergenic	intergenic_7412_7464	26.92
Short Intergenic	intergenic_475_506	29.03
Short Intergenic	intergenic_2561_2634	31.51
Short Intergenic	intergenic_2540_2584	27.27
Short Intergenic	intergenic_1385_1572	31.02
Short Intergenic	intergenic_1710_1923	39.91
Short Intergenic	intergenic_4401_4444	34.88
Short Intergenic	intergenic_1335_1534	29.15
Short Intergenic	intergenic_1061_1351	33.79
Short Intergenic	intergenic_4387_4390	66.67
Short Intergenic	intergenic_940_941	100.00
Short Intergenic	intergenic_2621_2715	26.60
Short Intergenic	intergenic_4242_4352	26.36
Short Intergenic	intergenic_2511_2559	29.17
Short Intergenic	intergenic_3102_3130	25.00
Short Intergenic	intergenic_1333_1531	34.34
Short Intergenic	intergenic_1375_1438	34.92
Short Intergenic	intergenic_2383_2402	26.32
Short Intergenic	intergenic_9142_9281	30.22
Short Intergenic	intergenic_756_758	0.00
Short Intergenic	intergenic_1259_1350	28.57
Short Intergenic	intergenic_2304_2344	30.00
Short Intergenic	intergenic_2421_2649	29.39
Short Intergenic	intergenic_4095_4284	24.34
Short Intergenic	intergenic_3320_3398	20.51
Short Intergenic	intergenic_3560_3563	0.00
Short Intergenic	intergenic_4232_4276	47.73
Short Intergenic	intergenic_3005_3008	66.67
Short Intergenic	intergenic_3623_3631	25.00
Short Intergenic	intergenic_3964_4255	31.62
Short Intergenic	intergenic_1740_1749	55.56
Short Intergenic	intergenic_1359_1498	31.65
Short Intergenic	intergenic_3957_4186	24.89
Short Intergenic	intergenic_2593_2637	27.27
Short Intergenic	intergenic_2976_3049	26.03
Short Intergenic	intergenic_1577_1663	33.72
Short Intergenic	intergenic_3857_3905	22.92
Short Intergenic	intergenic_4022_4171	31.54
Short Intergenic	intergenic_9007_9022	33.33
Short Intergenic	intergenic_2085_2320	32.77
Short Intergenic	intergenic_2860_2999	30.22
Short Intergenic	intergenic_4001_4169	30.95
Short Intergenic	intergenic_1234_1237	33.33
Short Intergenic	intergenic_2821_2850	31.03
Short Intergenic	intergenic_4039_4146	30.84
Short Intergenic	intergenic_820_850	23.33
Short Intergenic	intergenic_2839_2931	32.61
Short Intergenic	intergenic_3138_3435	27.61
Short Intergenic	intergenic_3633_3636	33.33
Short Intergenic	intergenic_3927_4141	23.83
Short Intergenic	intergenic_677_721	31.82
Short Intergenic	intergenic_1909_2110	35.32
Short Intergenic	intergenic_4120_4134	35.71
Short Intergenic	intergenic_4029_4131	28.43
Short Intergenic	intergenic_425_520	22.11
Short Intergenic	intergenic_2068_2160	33.70
Short Intergenic	intergenic_4116_4124	12.50
Short Intergenic	intergenic_3865_4123	30.62
Short Intergenic	intergenic_1634_1656	13.64
Short Intergenic	intergenic_1818_1904	24.42
Short Intergenic	intergenic_2600_2647	31.91
Short Intergenic	intergenic_906_942	19.44
Short Intergenic	intergenic_1209_1480	30.26
Short Intergenic	intergenic_3917_4112	29.23
Short Intergenic	intergenic_7300_7595	30.85
Short Intergenic	intergenic_7754_7755	0.00
Short Intergenic	intergenic_1759_1985	26.55
Short Intergenic	intergenic_409_597	30.32
Short Intergenic	intergenic_2328_2571	30.86
Short Intergenic	intergenic_3393_3461	26.47
Short Intergenic	intergenic_3857_4109	26.98
Short Intergenic	intergenic_275_367	32.61
Short Intergenic	intergenic_799_871	40.28
Short Intergenic	intergenic_2238_2448	33.81
Short Intergenic	intergenic_2673_2785	24.11
Short Intergenic	intergenic_2899_2989	38.89
Short Intergenic	intergenic_3370_3506	32.35
Short Intergenic	intergenic_3902_4101	31.16
Short Intergenic	intergenic_546_808	25.95
Short Intergenic	intergenic_2425_2644	25.11
Short Intergenic	intergenic_1855_1904	24.49
Short Intergenic	intergenic_2960_3014	11.11
Short Intergenic	intergenic_4004_4096	33.70
Short Intergenic	intergenic_2415_2693	29.86
Short Intergenic	intergenic_3617_3662	20.00
Short Intergenic	intergenic_4052_4088	27.78
Short Intergenic	intergenic_614_728	36.84
Short Intergenic	intergenic_1605_1679	27.03
Short Intergenic	intergenic_2489_2533	9.09
Short Intergenic	intergenic_2905_2942	13.51
Short Intergenic	intergenic_3953_4076	26.83
Short Intergenic	intergenic_3991_4038	34.04
Short Intergenic	intergenic_1450_1622	41.28
Short Intergenic	intergenic_2777_2924	32.65
Short Intergenic	intergenic_3455_3546	21.98
Short Intergenic	intergenic_3675_3879	30.39
Short Intergenic	intergenic_4215_4377	25.31
Short Intergenic	intergenic_5916_6055	39.57
Short Intergenic	intergenic_15361_15546	31.35
Short Intergenic	intergenic_18382_18456	32.43
Short Intergenic	intergenic_849_948	24.24
Short Intergenic	intergenic_4451_4536	32.94
Short Intergenic	intergenic_6888_6997	28.44
Short Intergenic	intergenic_3245_3518	24.54
Short Intergenic	intergenic_3812_4034	26.58
Short Intergenic	intergenic_691_981	32.07
Short Intergenic	intergenic_2948_3099	34.44
Short Intergenic	intergenic_610_767	28.66
Short Intergenic	intergenic_1097_1099	0.00
Short Intergenic	intergenic_1792_1854	30.65
Short Intergenic	intergenic_3888_3992	25.96
Short Intergenic	intergenic_1543_1732	29.10
Short Intergenic	intergenic_2002_2301	34.11
Short Intergenic	intergenic_3495_3750	29.41
Short Intergenic	intergenic_3912_3964	25.00
Short Intergenic	intergenic_3920_3948	25.00
Short Intergenic	intergenic_2211_2384	28.90
Short Intergenic	intergenic_5096_5373	29.60
Short Intergenic	intergenic_2400_2569	31.36
Short Intergenic	intergenic_2980_3124	29.86
Short Intergenic	intergenic_3631_3927	29.05
Short Intergenic	intergenic_3755_3911	32.05
Short Intergenic	intergenic_2413_2485	38.89
Short Intergenic	intergenic_2725_2963	23.11
Short Intergenic	intergenic_3835_3911	31.58
Short Intergenic	intergenic_3763_3895	30.30
Short Intergenic	intergenic_193_280	37.93
Short Intergenic	intergenic_3385_3404	36.84
Short Intergenic	intergenic_3713_3872	30.82
Short Intergenic	intergenic_1205_1229	16.67
Short Intergenic	intergenic_2747_2792	20.00
Short Intergenic	intergenic_5771_5988	29.49
Short Intergenic	intergenic_6330_6340	30.00
Short Intergenic	intergenic_2224_2225	0.00
Short Intergenic	intergenic_3689_3870	29.83
Short Intergenic	intergenic_1769_1920	31.79
Short Intergenic	intergenic_3639_3828	28.04
Short Intergenic	intergenic_2859_2942	26.51
Short Intergenic	intergenic_3766_3828	37.10
Short Intergenic	intergenic_1179_1193	35.71
Short Intergenic	intergenic_2444_2502	25.86
Short Intergenic	intergenic_2742_2849	41.12
Short Intergenic	intergenic_2049_2150	29.70
Short Intergenic	intergenic_3503_3797	21.09
Short Intergenic	intergenic_919_1011	30.43
Short Intergenic	intergenic_1977_2012	45.71
Short Intergenic	intergenic_2684_2747	19.05
Short Intergenic	intergenic_3020_3117	30.93
Short Intergenic	intergenic_3588_3790	30.69
Short Intergenic	intergenic_2606_2722	33.62
